TIPOLOGIA_STRUTTURA;ASP;DENOMINAZIONE_STRUTTURA;INDIRIZZO_SEDE_OPERATIVA;CITTA';SOGGETTO_GESTORE;INDIRIZZO_SEDE_LEGALE;NUMERO_TELEFONO;PEC;PROVVEDIMENTO_DI_ACCREDITAMENTO
RESIDENZA SANITARIA ASSISTENZIALE PER DISABILI (RD4);RC;Villa Salus s.p.a.;C.da Marinella                   Via Madre Teresa Di Calcutta, 1;Bruzzano Zeffirio;Villa Salus s.p.a.;C.da Marinella Via Madre Teresa Di Calcutta, 1 Bruzzano Zeffirio (RC);0964 934967;villasalus@legalmail.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE MEDICALIZZATA (R1);RC;Villa Salus s.p.a.;C.da Marinella                   Via Madre Teresa Di Calcutta, 1;Bruzzano Zeffirio;Villa Salus s.p.a.;C.da Marinella Via Madre Teresa Di Calcutta, 1 Bruzzano Zeffirio (RC);0964 934967;villasalus@legalmail.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE MEDICALIZZATA (R1);RC; Villa Anya s.r.l.;Via SS 106 km 28,5;Melito Porto Salvo; Villa Anya s.r.l.;Via SS 106 km 28,5 Melito Porto Salvo (RC);"0965 777158 
 347 4441247";villaanya@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 251597 DEL 31/07/2017
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;RC;CE.RE.SO.                                            Comunità Archè;Via Roma, 5;S.Alessio d'Aspromonte;CE.RE.SO.;Via S. Giuseppe, 97 Reggio Calabria;0965 741272;cereso@arubapec.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;RC;CE.RE.SO.                                                                   Don Tonino Bello;Via Nazionale, 57;Sambatello - Reggio Calabria;CE.RE.SO.;Via S. Giuseppe, 97 Reggio Calabria;0965 598983;cereso@arubapec.it;D.P.G.R. N. 135/2013
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;RC;LA CASA del SOLE;Via Ravagnese;Gallina, Reggio Calabria;LA CASA del SOLE;Via Ravagnese Gallina, Reggio Calabria; 0965 682018;info@pec.comunitalacasadelsole.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;RC;"EXODUS
La Casa di Mimmo";C.da Polvere,30;S.Stefano d'Aspromonte;Fondazione Exodus Onlus;Viale Marotta, 18/20 Milano;0965 740532;santostefano@pec.exodus.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;RC;EMMANUEL ;C.da Trigoni;Melito Porto Salvo;Associazione Comunità Emmanuel Onlus;S.da P.le Lecce-Novoli, 25 Lecce;0965 788400;presidenzaemmanuel@legalmail.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;RC;Vecchio Borgo;Loc. Ciosso, 6;Motta S. Giovanni;Associazione William Latella Onlus;Loc. Ciosso, 6 Motta S. Giovanni (RC);0965 346457;williamlatella@pec.it;D.P.G.R. N. 1/2011 nota prot. 11046/2019
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Sanigest s.r.l.  (ex Villa Augusta);Via L. Nicoletti, 24;Castrovillari;Sanigest S.r.l.;C/DA INFASCINATO SPEZZANO ALBANESE (CS);0981 483360;sanigest2016@legalmail.it ;D.P.G.R. N. 1/2011 DCA N. 20 del 08-02-17
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Terra dei Semplici;Via Piave, 21;Mandatoriccio;Il Giardino dei Semplici Srl;C.da Mortilla Mandatoriccio (CS);0983 994963;ilgiardinodeisemplicisrl@pec.it;D.P.G.R. N. 1/2011
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;La Ghironda;Via Cesare Terranova, 24;Cosenza;La Ghironda Soc. Coop. Onlus;Via Cesare Terranova, 24 Cosenza;0984 75900;laghironda@superpec.eu;"D.P.G.R. N. 1/2011 
DDG N. 9638 del 10/08/2022"
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Lucia Mannella;C.da Fontana;Malito;Centro di Solidarietà Il Delfino Soc. Coop. Onlus;Ctr Macchiabbella,58 Cosenza;0984 1655730;centrodisolidarietaildelfino@legalmail.it;D.P.G.R. N. 1/2011 Nota prot. n.145970/2018
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Il Giardino dei Semplici;Loc. Mortilla;Mandatoriccio;Il Giardino dei Semplici Srl;C.da Mortilla Mandatoriccio (CS);0983 994963;ilgiardinodeisemplicisrl@pec.it;D.P.G.R. N. 98 del 28/6/2012
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Borgo dei Mastri s.r.l.;C.da S. Maria di Pugliano;Paterno C.;Borgo dei Mastri s.r.l.;C.da S. Maria di Pugliano Paterno C. (CS);0984 476194;borgodeimastri@pec.it;D.P.G.R. N. 1/2011
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Borgo dei Mastri s.r.l.;C.da S. Maria di Pugliano;Paterno C.;Borgo dei Mastri s.r.l.;C.da S. Maria di Pugliano Paterno C. (CS);0984 476194;borgodeimastri@pec.it;D.P.G.R. N. 1/2011
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Borgo dei Mastri s.r.l.;C.da S. Maria di Pugliano;Paterno C.;Borgo dei Mastri s.r.l.;C.da S. Maria di Pugliano Paterno C. (CS);0984 476194;borgodeimastri@pec.it;D.P.G.R. N. 1/2011
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Villa degli Oleandri s.r.l.;C.da Pasquali, 117;Mendicino;Villa degli Oleandri s.r.l.;C.da Pasquali, 117 Mendicino (CS);0984 632227/632003;villaole@gigapec.it;D.P.G.R. N. 1/2011 Nota prot. n.328164 del 31/10/2016
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Villa degli Oleandri s.r.l.;C.da Pasquali, 117;Mendicino;Villa degli Oleandri s.r.l.;C.da Pasquali, 117 Mendicino (CS);0984 632227/632003;villaole@gigapec.it;D.P.G.R. N. 1/2011 Nota prot. n.328164 del 31/10/2016
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Clinic Service Center s.r.l.;Via Provinciale ;Piano Lago Mangone;Clinic Service Center s.r.l.;C.da Fiego Donnici Inf. Cosenza;0984 969955;clinic@pec.it, villaverde@legalmail.it;DCA N. 79 del 09/05/2017
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Clinic Service Center s.r.l.;Via Provinciale ;Piano Lago Mangone;Clinic Service Center s.r.l.;C.da Fiego Donnici Inf. Cosenza;0984 969955;clinic@pec.it, villaverde@legalmail.it;DCA N. 79 del 09/05/2017
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Residenza Santa Sofia D'Epiro REMS “transitoria”;Via Scigata;Santa Sofia D'Epiro;Centro di Solidarietà Il Delfino Soc. Coop. Onlus;Ctr Macchiabbella,58 Cosenza;0984 1655730;centrodisolidarietaildelfino@legalmail.it;DCA N.109 del 12/10/2016 Nota prot. n. 145970/2018 Struttura ex art. 20 L. 67/88 DCA n. 24 del 28/01/2020
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CS;Villa San Francesco;Via F. De Franco Pietro (Orto dei Monaci) ;Villapiana;Villa San Francesco s.r.l;"Via F. De Franco Pietro (Orto dei Monaci) 
Villapiana";0981 505001;ND;"DDG N. 6362 del 15/06/2022
DECRETO DEL COMMISSARIO AD ACTA DEL 13/10/2022"
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);KR;Verzino Solidale;Loc. Serre Pennuti;Verzino;Consorzio Mare Nostrum Onlus s.c.s.;Via Magenta, 9 Catanzaro;0962 763706;marenostrumonlus@messaggipec.it;D.P.G.R. N. 1/2011
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);KR;Carusa;Via Carusa;Cotronei;Correnti S.r.l.;C.da Chiusa, 4 Cotronei (KR);0962 44682/44751;correnti1srl@legalmail.it;DCA n. 63 del 03.05.2017 DCA n. 189 del 23.10.18
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);KR;Spirito Santo;Via Carusa;Cotronei;Correnti S.r.l.;C.da Chiusa, 4 Cotronei (KR);0962 44682/44751;correnti1srl@legalmail.it;DCA n. 64 del 03.05.2017 DCA n. 189 del 23.10.18
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CZ;Redancia Sud s.r.l.;Via Largo Regina Elena;S. Andrea dello Jonio ;Redancia Sud s.r.l.;Via Largo Regina Elena S. Andrea dello Jonio (CZ);0967 547818;redanciasudsrl@pec.it;D.P.G.R. N. 1/2011
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CZ;Villa S. Vincenzo s.r.l.;Via Barlaam da Seminara, 26;Catanzaro;Soc. San Vincenzo Srl;Via B. da Seminara, 26 Catanzaro;0961 775463;soc.sanvincenzo@pec.it;D.P.G.R. N. 1/2011
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CZ;Villa S. Vincenzo s.r.l.;Via Barlaam da Seminara, 26;Catanzaro;Soc. San Vincenzo Srl;Via B. da Seminara, 26 Catanzaro;0961 775463;soc.sanvincenzo@pec.it;D.P.G.R. N. 1/2011
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CZ;SalusMentis s.r.l.;Loc. La Petrizia SS.106;Sellia Marina;SalusMentis s.r.l.;Loc. La Petrizia SS.106 Sellia Marina (CZ);0961 968201;salusmentis@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 406373 06/12/2012 
 Nota prot. n. 242133/2018"
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);CZ;SalusMentis s.r.l.;Loc. La Petrizia SS.106;Sellia Marina;SalusMentis s.r.l.;Loc. La Petrizia SS.106 Sellia Marina (CZ);0961 968201;salusmentis@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 406373 06/12/2012 
 Nota prot. n. 242133/2018"
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);VV;Villa Arcobaleno;Fraz. S. Nicola De Legistis;Limbadi;CO.RI.S.S.;Via C. Levi, 75 Sarrottino Tiriolo (CZ);0963 85893;coriss@pec.coriss.it;D.P.G.R. N. 1/2011
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);RC;Consorzio Sociale GOEL;Via P. Brugnano;Siderno;Consorzio Sociale GOEL;C.da Limina, 3 Gioiosa Jonica (RC);0964 419191;consorziogoel@pec.it;"D.P.G.R. N. 1/2011 
Nota 384373/2018"
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);RC;Consorzio Sociale GOEL;Via P. Brugnano;Siderno;Consorzio Sociale GOEL;C.da Limina, 3 Gioiosa Jonica (RC);0964 419191;consorziogoel@pec.it;"D.P.G.R. N. 1/2011 
Nota 384373/2018"
STRUTTURA RESIDENZIALE RIABILITATIVA PSICHIATRICA (SRP1 – SRP2 – SRP3);RC;La Chimera ;C.da Ellera,16;Camini;La Chimera Soc. Coop Onlus;"C.da Ellera,16
Camini (RC)";0964 389017;lachimera@pec.psichiatrica.it;"D.P.G.R. N. 1/2011
DCA N. 159 del 02/08/2018
DCA N. 26 del 17/03/2022"
RESIDENZA SANITARIA PER SLA E MALATTIE DEGENERATIVE DEL SISTEMA NERVOSO (RD1);KR;Presidio di Riabilitazione Centro San Giuseppe;Via S. Baffa, 250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 492016;sadel.spa@pec.it;DCA n. 136 del 19.10.2017 DCA n. 33 del 28.01.2020
RESIDENZA SANITARIA PER SLA E MALATTIE DEGENERATIVE DEL SISTEMA NERVOSO (RD1);CZ;Centro Clinico S. Vitaliano s.r.l.;Via T. Campanella;Catanzaro;Centro Cilnico S. Vitaliano s.r.l.;Via T. Campanella, 60 Catanzaro;0961 773834-0984 163695;centroclinicosanvitaliano@pec.it;DCA n. 54 del 22.03.2017 DCA n. 153 del 26/11/2019
RESIDENZA SANITARIA PER PERSONE AFFETTE DA HIV/AIDS;RC;Casa Malati AIDS;Fraz. Castellace - Via Buzzano;Oppido Mamertina;Ente Morale Fondazione Famiglia Germanò Onlus;Piazza Orfanotrofio, 3 Oppido Mamertina (RC);;famigliagermano.onlus@pec.it;DCA N. 243 DEL 06/12/2018
CASA PROTETTA PER ANZIANI (R3);CS;San Camillo;Via G.Matteotti, 101;Sangineto;Tema Servizi S.r.l.;C.da S. Antonio. 177 Fuscaldo (CS);0982 993889;temaservizisrl@pec.it;"D.P.G.R. N. 1/2011 
DCA N. 4 DEL 23/01/2019 
DCA N. 165 DEL 03/12/2019"
CASA PROTETTA PER ANZIANI (R3);CS;San Giuseppe;Loc. Pettoruto;San Sosti;AGI Srl;Via degli Scipioni, 252 Roma;0981 64093;agi.srl@pec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);CS;Casa Serena Santa Maria di Loreto;Via Indipendenza, 4;Cassano allo Jonio;Casa Serena Santa Maria di Loreto;Via Indipendenza, 4 Cassano allo Jonio (CS);0981 71022;info@pec.casaserenacassano.it;D.P.G.R. N. 1/2011 Nota prot. n. 295278/2018
CASA PROTETTA PER ANZIANI (R3);CS;S.Pio e Madonna dell’Immacolata;C.da Cozzo Giardino;Corigliano-Rossano;C.S.B. s.r.l. Unipersonale;C.da Cozzo Giardino Corigliano-Rossano (CS);0983 859110;csbsrl1@legalmail.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);CS;Villa Azzurra;Via Olimpia, 1;Roseto Capo Spulico;Pegaso Srl;Via Olimpia, 1 Roseto Capo Spulico (CS);0981 913635;pegasoanziani@legalmail.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);CS;Villa Sorriso s.r.l.;Via E.D’Amato;Montalto Uffugo;Villa Sorriso s.r.l.;Via E.D’Amato, 91 Montalto Uffgo (CS);0984 1902818;villasorrisosrl@legal.email.it;D.P.G.R. N. 1/2011 Nota Prot.N. 49352 del 05/02/2020
CASA PROTETTA PER ANZIANI (R3);CS;S. Maria di Bocchigliero;Via Riforma, 121;Bocchigliero;Madonna della Catena Hospital S.r.l.;Via Riforma Bocchigliero (CS);0983 92591;mdchospital@pec.it                                                                     fondazionesantamaria@kelipec.it;D.P.G.R. N. 1/2011 DCA n. 40/2017
CASA PROTETTA PER ANZIANI (R3);CS;Villa Adelchi;Contrada Frailliti;Longobardi;Riace Srl;Via Panebianco, 293 Cosenza;0982 78067;riacesrl@legpec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);CS;Villa Florensia;Via Monastero, 56;San Giovanni in Fiore;San Vincenzo De Paoli Srl;Via Monastero, 56 San Giovanni in Fiore (CS);0984 992036;sanvincenzodepaoli@legpec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);CS;Don Milani;C.da Carmine snc;Lungro;AIE Srl;"Via dei Conti Ruffo, 15
Catanzaro";0981 947480;aie@pec.it;"DCA N. 100 del 30/08/2022
DCA N. 128 del 17/10/2022"
CASA PROTETTA PER ANZIANI (R3);CS;Casa di Riposo Villa Letizia s.r.l.;Loc. Frisone;Spezzano della Sila - Camigliatello Silano;Letizia Casa di Riposo Protetta s.r.l.;Loc. Frisone;;;DCA N. 113 del 26/04/2023
CASA PROTETTA PER DISABILI (RD5);CS;Sant'Antonio;Contrada Carpansacchio;Castrovillari;Villa Iride S.r.l.;Via Don Giuseppe Bellizzi, 6 Castrovillari (CS);0981 1901031;villairidesrl@legalmail.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER DISABILI (RD5);CS;Borgo dei Mastri Pad. C. D.;C.da S. Maria di Pugliano;Paterno Calabro;Borgo dei Mastri Srl;C.da S. Maria di Pugliano Paterno Calabro (CS);0984 476194;borgodeimastri@pec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER DISABILI (RD5);CS;Borgo dei Mastri Pad. F.;C.da S. Maria di Pugliano;Paterno Calabro;Borgo dei Mastri Srl;C.da S. Maria di Pugliano Paterno Calabro (CS);0984 476194;borgodeimastri@pec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);KR;Casa Giardino S.r.l.;Via Laghi Silani;Cotronei;Casa Giardino S.r.l.;Via Laghi Silani Cotronei (KR);0962 44108;casagiardino.oliveti@pec.it;DCA n. 75 del 04.05.2017 Nota prot. n. 25011 del 22/01/2019
CASA PROTETTA PER ANZIANI (R3);KR;Savelli Hospital Srl;Via Roma;Savelli;Savelli Hospital Srl;Via Roma Savelli (KR);0962 44108;savellihospital.srl@pec.it;"DCA n. 135 del 19/10/17
DECRETO DEL COMMISARIO AD ACTA MINISTERIALE del 20/09/2021"
CASA PROTETTA PER ANZIANI (R3);KR;Villa Ermelinda;Via Pozzoseccagno;Cutro;Progetto Terza Età Srl;Loc. Pozzoseccagno Cutro (KR);0962 771139;ptesrl@pec.it;"DCA n. 69 del 04.05.2017
DECRETO DEL COMMISSARIO AD ACTA del 01/09/2022"
CASA PROTETTA PER ANZIANI (R3);KR;SADEL San Teodoro s.r.l.;Loc. San Lorenzo;Cerenzia;SADEL San Teodoro s.r.l.;Via S. Baffa, 246 Cotronei (KR);0984 995450;sadel.santeodoro@pec.it;"DCA n. 138 del 19/10/17 Nota prot. N. 152189 del 14/05/2015
DECRETO DEL COMMISARIO AD ACTA MINISTERIALE del 22/09/2021
"
CASA PROTETTA PER ANZIANI (R3);KR;Villa del Rosario s.r.l.;Loc. Trepidò Sottano;Cotronei;Villa del Rosario s.r.l.;Loc. Trepidò Sottano Cotronei (KR);0962 46121;villadelrosario.srl@pec.it;"D.P.G.R. N. 1/2011 DCA N. 251 DEL 07/12/2018
DECRETO DEL COMMISARIO AD ACTA MINISTERIALE del 22/09/2021"
CASA PROTETTA PER DISABILI (RD5);KR;Spirito Santo;Via Carusa;Cotronei;Correnti S.r.l.;C.da Chiusa, 4 Cotronei (KR);0962 44682/44751;correnti1srl@legalmail.it;DCA n. 64 del 03.05.2017 DCA n. 189 del 23.10.18
CASA PROTETTA PER ANZIANI (R3);CZ;Alpha Service S.r.l.                                       (ex Madonna del Rosario);Via Torre, 81;Lamezia T.;Alpha Service S.r.l.      ;Via Torre, 81 Lamezia Terme (CZ);0968 400478;infoalphaservicesrl@pec.it                ;D.P.G.R. N. 1/2011 DCA 57/2018
CASA PROTETTA PER ANZIANI (R3);CZ;San Francesco di Paola;C.da Vallini;Maida;San Francesco di Paola sas;C.da Vallini Maida (CZ);0968 155900;residenzasanfrancesco@pec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);CZ;San Domenico;Via Federico Iannini;Palermiti;Centro Medico A. Fleming s.r.l.;Via Dalmazia, 3 Soverato (CZ);0961 730183;centromedicoafleming@pec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);CZ;Mons. A. Stanizzi;Via Flaminia;Cropani  M.na;La Speranza Impresa Sociale Srl;"Via Tangeri ,Snc
Cropani Marina (CZ)";0961 960948;fondazioneualsi@postecert.it;DCA N. 68 del 22/02/2023
CASA PROTETTA PER ANZIANI (R3);CZ;EBEN EZER S.r.l.;C.da Mumuriana;Chiaravalle Centrale;EBEN EZER S.r.l.;C.da Mumuriana Chiaravalle C.le (CZ);0967 632049;ebenezer2013@pec.it;DCA N. 49 del 09/02/2023
CASA PROTETTA PER ANZIANI (R3);CZ;Villa Mariolina;Contr. Palladino, 1;Montauro;Casa di Cura Giovanni Paolo II Srl;Via Dei Conti Ruffo, 15 Catanzaro;0967 548827;vivereinsieme@pec.it;DCA N. 27 del 12/01/2023
CASA PROTETTA PER ANZIANI (R3);CZ;Villa S. Elia;Via C. A. Dalla Chiesa, 10;Marcellinara;Associazione Vivere Insieme;Via Dei Conti Ruffo, 15 Catanzaro;0961 996168;vivereinsieme@pec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);CZ;Fondazione Betania  ONLUS Mimosa;Via Molise, 21;Catanzaro;Karol Betania Strutture Sanitarie S.r.l.;Via Molise, 21 Catanzaro;;fondazionebetania@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 68691 del 18/02/2019 Nota prot. n. 408636 del 27/11/2019
DCA N. 167 del 29/11/2022"
CASA PROTETTA PER ANZIANI (R3);CZ;Fondazione Betania  ONLUS Casa degli Ulivi;Strada Provinciale 127 n.7;Girifalco;Karol Betania Strutture Sanitarie S.r.l.;Via Molise, 21 Catanzaro;;fondazionebetania@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 68691 del 18/02/2019 
Nota prot. n. 408636 del 27/11/2019
DCA N. 167 del 29/11/2022"
CASA PROTETTA PER DISABILI (RD5);CZ;Il Gabbiano;Via Nazionale s.s. 18;Gizzeria;IL GABBIANO SRL;Via Nazionale s.s. 18 Gizzeria Lido (CZ);0968 419492;infoilgabbiano@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 242128/2018
CASA PROTETTA PER DISABILI (RD5);CZ;Mons. A. Stanizzi;Via Flaminia;Cropani  M.na;La Speranza Impresa Sociale Srl;"Via Tangeri ,Snc
Cropani Marina (CZ)";0961 960948;fondazioneualsi@postecert.it;DCA N. 68 del 22/02/2023
CASA PROTETTA PER ANZIANI (R3);VV;Villa delle Rose S.r.l.;Via Roma, 270;Monterosso C.;Villa delle Rose S.r.l.;Via Roma, 270 Monterosso C. (VV);0963 325241;casaprotettavilladellerose@pec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);VV;La Madonnina;C.da Prato;Filadelfia;Garo Antonio S.r.l.;Via Torre, 81 Lamezia Terme (CZ);0968 725212;garoantoniosrl@pec.it;DCA n. 144 del 11/11/2019
CASA PROTETTA PER DISABILI (RD5);VV;S. Antonio;C.da Prato;Filadelfia;Garo Antonio S.r.l.;Via Torre, 81 Lamezia Terme (CZ);0968 725212;garoantoniosrl@pec.it;DCA n. 32 del 20/02/2019
CASA PROTETTA PER ANZIANI (R3);RC;Clinica Villa Vittoria s.r.l.;via cav. Ettore Ursino snc Antonimina (RC);Antonimina;Clinica Villa Vittoria s.r.l.;via cav. Ettore Ursino snc Antonimina (RC);0964 312371;mutua_benevolentia@pec.it;"D.P.G.R. N. 1/2011 
nota prot. n. 380958 del 20.11.2020 (presa d'atto trasformazione societaria)"
CASA PROTETTA PER ANZIANI (R3);RC;Universo;Via Nazionale, 6;Africo;ARPAH Onlus;Via Nazionale, 23 Africo (RC);0964 991034;arpah@pec.cgn.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);RC;Emmaus;Via Rocco Pugliese, 1;Palmi;Associazione di Volontariato Presenza;Via Rocco Pugliese, 1 Palmi (RC);0966 267411;presenzaonluscalabria@pec.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);RC;Opera San Francesco D’Assisi;Via S. Maria Superiore, 118;Rizziconi;Opera San Francesco D’Assisi;Via S. Maria Superiore, 118 Rizziconi (RC);0966 53093;operasanfrancesco@legalmail.it;D.P.G.R. N. 1/2011
CASA PROTETTA PER ANZIANI (R3);RC;Casa della Carità;Via G. Minasi, 11/13;Scilla;Casa della Carità;Via G. Minasi, 11/13 Scilla (RC);0965 754091;casaprotetta.casadellacarita@pec.it;D.P.G.R. N. 1/2011
HOSPICE  (R1);CS;Villa Gioiosa;C.da Caldopiano;Montalto Uffugo;Effegi S.u.r.l.;Via Sambiase, 24/F Cosenza;0984 930888;effegics@pec.it;"DCA n.35 del 08/02/2017
DCA N. 97 del 30/08/2022"
HOSPICE  (R1);KR;San Dionigi Hospital  ;Via San Luca;Crotone;Progetto Terza Età S.r.l.;Loc. Pozzoseccagno Cutro (KR);0962 948098;ptesrl@pec.it;DCA n. 119 del 09/08/2019
HOSPICE  (R1);CZ;Centro Cilnico S. Vitaliano s.r.l.;Via T. Campanella;Catanzaro;Centro Cilnico S. Vitaliano s.r.l.;Via T. Campanella, 60 Catanzaro;0961 773834-0984 163695;centroclinicosanvitaliano@pec.it;DCA N.136 DEL 20/12/2016 DCA n. 29 del 20/02/2019 DCA n. 153 del 26/11/2019
HOSPICE  (R1);CZ;Sant'Andrea Hospice;Via della Fraternità snc;Sant'Andrea Apostolo dello Ionio;Giomi Care srl;"Via Antonio Chinotto,16
Roma";0967 44145 -47123;villadellafraternita@pec.it;"DCA n.6 del 23/01/2017 Presa d'atto superamento prescrizioni prot. n. 31303 del 02/02/2017 Nota prot. 417940/2018 DCA n. 64 del 09/04/2019
DCA N. 141 del 19/10/2022"
HOSPICE  (R1);RC;Fondazione Via delle Stelle;Via delle Camelie snc;Reggio Calabria;Fondazione Via delle Stelle;Via delle Camelie snc Reggio Calabria;0965 683626;fondazioneviadellestelle@pec.buffetti.it;DCA N. 103 del 09/08/2021
ASSISTENZA DOMICILIARE INTEGRATA (ADI);KR;Villa San Giuseppe;Via S. Baffa, 246-250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 44108;sadel.spa@pec.it;"DCA N. 249 DEL 07/12/2018
DCA n. 34 del 28.01.2020"
ASSISTENZA DOMICILIARE INTEGRATA (ADI);KR;SADEL San Teodoro s.r.l.;Loc. San Lorenzo;Cerenzia;SADEL San Teodoro s.r.l.;Via S. Baffa, 246 Cotronei (KR);0984 995450;sadel.santeodoro@pec.it;"DCA n. 138 del 19/10/17 DCA N. 53 DEL 09/04/2019
DECRETO DEL COMMISARIO AD ACTA MINISTERIALE del 22/09/2021"
ASSISTENZA DOMICILIARE INTEGRATA (ADI);KR;Savelli Hospital Srl;Via Roma;Savelli;Savelli Hospital Srl;Via Roma Savelli (KR);0962 44108;savellihospital.srl@pec.it;"DCA n. 135 del 19/10/17 DCA N. 54 DEL 09/04/2019
DECRETO DEL COMMISARIO AD ACTA MINISTERIALE del 20/09/2021"
ASSISTENZA DOMICILIARE INTEGRATA (ADI);KR;Presidio di Riabilitazione Centro San Giuseppe;Via S. Baffa, 250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 492016;sadel.spa@pec.it;DCA n. 45 del 04/02/2020
